Username,Comment
ashi kaur,"This video was very useful,tysm now all my doubts and clear...and I proudly say that i support farmers#istandwithfarmers#farmers"
Half Blood Prince,If i am a trader so i sell daal for Rs.149 per kg and earn more.......What a incredible law.....
kaceo brwa,modi government bring good policies but they loose the narrative war
Jai Tanwar,really good video
Sushma Raut,Sir where we could get the pdf of the vedio and your vedios are very helpful .
dharnish palika,It was really too good cut to the point
RJ Alpaca,"If I would read 1st and 2nd law together....then as per an already signed contract with a company I would never loose a penny as a farmer...either the demand is high or low in the market...its the company's headache...not the farmer's....isn't so?...then my income will not fluctuate....
*t&c applied"
Muskan Sharma,Thank u  so much sir.. very good explaination 
Bandita,Your voice is God gifted...  The way of your explanation style is unique nd easily understandable. Thank you sir . God bless you
Rathore,"Explaining a subject with such ease and clarity of thought is a rare combination, no timepass, just content, put across in simple and logical sequence.
If you could cover international affairs in the similar manner, this channel can give 90% channels run for their money.
Kudos for the brilliant effort"
Er. ARSHDEEP SINGH,This bill was implemented on bihar. After that look the results of Bihar's agriculture system. Kishan majdoor ekta zindabad
Meghna Mishra,There are around 2 hr 10 videos in my coaching (for which i paid around 80k) and not a single one is as good as what this guy has taught us in this 14 min video for free. 
Suga priya,Sir please explain about Indian Digital Ecosystem (IDEA)on Agriculture .
Puia Chenkual,"what type of bill ""Farm bill 2020"" was? was it money Bill?"
Anoop Singh,why r u not telling about open market in agriculture...everyone knows punjab and haryana production more than the requirement....in open market demand supply decide rate of the crops...then obviously the rate will decrease automatically for the crops....and govt. Providing nothing...like cold storage warehouse for store to the farmer then where will kisan store it to get best price in demand supply circle
Yashaswi Bist,Simply Wonderful!!
Charles Dias,India copy America and America copy China
Jian Yu,Ive watched the video twice. I still dont get why the farmers are protesting. It seems the pros should overweight the cons. What am i missing?
sarita_ vishwanath,Extremely helpful video... Thanks for sharing 
Lakheswar Kalita,yes for common people no benifit only big farmers and big business house will mint money
Sunilkumar Malge,"Sir, how come it would be good idea to letting handle Pvt organisation, when it will increase monopoly and dominance of powerful ppl. If the govt want to bring but also has to assure that they will give minimum fare amount, where govt is not giving assurance."
TAMIL BEAST,Sir if possible please create another channel for various scheduled language ! There are various poor kida who don't have equitable acces to Quality education . Digital platform like yours can suffice that .. love from TN 
Soumya Bhunia,Sir please make more video.....It will help us a lot.....
Lalit Chauhan,Admin in a deserving candidate whom upsc rejected
ajay jha,I wish any media had covered it this way.
Krishnan Bk,thanks sir we dont know economics after my doctor and software degree i'm also reading econicmic times and no knowledge is coming only oligopoly monopoly i dint managerial economics in mca and some accounts how will i understand u people should help us
Khajoor,"The best teacher, god bless you"
Khajoor,And see the price of edible oil now
Indus Bee,"It's like an IAS is teaching on YouTube. 
We got ."
Douthang Manchong,His voice is like listening to the red mirchi in f.m. radio
Tappeta Shivaji Krishna,Very very excellent sir
M Waleed,Can anyone tell what software Mr. Amit uses to make these videos?
SHUBHAM SANKPAL,"Sir, do cover major issues like this, It really helps"
sri vartha,"the farners in telangana facing problems in selling paddy, which you can view through various local language channels but some media doesnt seem to think its important to address,  maybe since it doesnt match their political motives"
5021 Vivek Gaur,Great Explanation. You should teach farmers these laws (instead some corrupted parties) so they can move to proper protest.
Dr Pinaki Sengupta,"You have told only half of the facts, and that too only Govt side's. The main contentions of farmers that is why they are objecting is not properly and not completely discussed."
Nafee Nafa,"In the non- perishable and perishable goods there is a 50%, 100% limit in increasing.Did they mention the base level price of these commodities. I am confused because the market is fluctuating and there is no exact price on any product."
Dawit Ketema,"Only the cronies will profit from a highly regulated environment. When are we going to learn that most price hikes are artificial, mainly caused by government policy measures purportedly aimed at resolving some problem but having the opposite effect. 
Likewise, we can bring thousands of examples of how price controls failed in many countries, not to mention how it also bred corruption. 
If India has the capacity to build an effective regulatory framework, then it can function better by liberalizing the economy and and let the market decide."
Prince Kumar,Is there any pdf format for this sir
Bhimrao Madar,This farm laws are very harm to farmer's.  Goverment should not implement this laws!
Punjabi Chopsticks,Nicely explained
Ayush Singh,"You did not tell that MSP is removed in contract farming. Also that there is no court interference in contract farming. ??
Am i right sir. 
If i am then you should have brought these major points why farmers are protesting.
Knowledge shall be imparted with an unbiased attitude, no matter which party you support. 
Also on oxygen shortage supply, i could sense your soft corner. I joined this so that i can get an unbiased teaching from you."
S T,"Good lecture Amit. Also Listen to P. Sainath  (Ramon Magsaysay Award  winner ). He says Farm Bill is the corporate hijack of India and it Will Create Utter Chaos, and this is a fight for India , not just for farmers. ' https://www.youtube.com/watch?v=BAQ-l2U4sAg"
S T,"Listen to  the Colin Gonsalves, Senior Advocate of the Supreme Court of India and the founder of Human Rights Law Network....This Bill Is unfair to farmers and is a  fight is for the HEART and SOUL of India.   https://www.youtube.com/watch?v=7eWqRR7DMyo"
Mujeeb Rahiman,"The main and important point is missing here.That is it will bring a very delicate and intrensic  planing in farming.Instrad of this traditional cultivation without any planing, the farmers can change with the market demand and with well planing ,that will change and modernise the.agriculture sector.There will be more money with the farmers like those in Kerala"
Proggadip Mandal,"Sir your way of teaching is very helpful for my preparation and I have a request to you....can you please make a video/videos based on our constitution in a brief and simple way, it would be very helpful if you can sir."
Rosalyn Pereira,"Inflation-deflation shouldnt be a complain or a votebank issue anymore, Tech Agriculture more transparent work by Farmers UNION roll out, If not a political strife A centre verses state hold The transaction-advance for agriculture see to states and union thereof shall be transparent with no strife issue to begin with...reliance less owing to supply connect network#"
AH-2019_01 Samiksha Awhale,Really informative thank you so much
Simone Barbou,"This is a global problem and your explanation is excellent which aligns with the strategy of Silent Weapons and Quiet Wars which is the global strategy to allow the elite to control everything!  If there is any way you can acquire this document, I encourage you to do so and read it!"
krishna naik,"Wonderfully explained concepts clearly. 
My request is to pl provide link to download  pdf documents in the description."
Harshit Rai,I think due to this bill the commoners are going  to Suffer most
Mopumeren Jamir,Amit sengupta deserves a Padma for his outstanding service.
inspiregrowth,"When we say that it will pinch our pockets, is that not exactly what is keeping the farmer poor? Our reluctance to pay fair price is keeping them poor."
Sandy born2 shine,U provide content after deepest investigation which take alot time for a people like me and  u make it easy coz there's no Need of an investigation after watching ur videos.. 
Roshni Rajvansh,Ur voice is awesome ..and perfect
basavkiran hosallimath,Nice well and Cristal clearly explained sir 
George Ferdinand War,Thanks for simplifying. Love it
REKHA KUMAR,Crystal clear explanation.. Thankyou
john suman,"I appreciate the time in the effort what you have put into this video and the sketch to understand it 
And also gives me knowledge about the 2020 act for farmers and the individual entrepreneurs Wishing you a good luck and looking forward to see more videos "
Balvinder Gill,"In India: 20 corporates own 70% of wealth.
In America,: 20 corporates own 25% of wealth."
Balvinder Gill,"Farmers are protesting because they understand the REALITY of these bills - not the fancy language!
- no more Mandees.
-only I Biyer - Adani: monopoly... Jio!!
-no right to courts, only SDMs
-contract farming!!!
- Adani dictates what to grow and how. Gives seed and pesticides and decides what price he will pay to farmer based on Adanis decision on quality
- farmer responsible foe any loans etc taken ... risk of bankruptcy theough the tax laws (INDIRECTLy).
- farmers will loose everything indirectly through these laws.
All farmers will become indentured labourers.
of all people involved in farming, including labourers and those who sell produce, only10% will remain employed - where is government going to give jobs to 90% of those that will become e UNemployed?
Since government will not be buying produce from farmers (because Adani/Albanian will), how will government fulfill its atta/daal scheme to the poor???

Do you think ALL the Delhi Bar Assoxoation and other Supreme Court layers who are standing with the farmers do NOT u sweat and the danger of these 3 laws?????"
Ranvijay Kumar,Very informative
Mozmmail mallick,When will he achieve 1 M subscribers 
RISHITA R,"Best video
Believe me I have watched every video relating to these laws....but it was more than clear... thanks "
